,fpath,size,date_created,date_modified
0,Z:\Screenshots\Screenshot_2016-10-21-20-57-22.png,136927.0,Sat Jan 21 18:58:00 2017,Sat Oct 22 02:57:23 2016
1,Z:\Screenshots\Screenshot_2016-10-21-20-59-42.png,883953.0,Sat Jan 21 18:58:01 2017,Sat Oct 22 02:59:45 2016
2,Z:\Screenshots\Screenshot_2016-10-21-20-59-52.png,883953.0,Sat Jan 21 18:58:01 2017,Sat Oct 22 02:59:54 2016
3,Z:\Screenshots\Screenshot_2016-10-21-20-59-53.png,883953.0,Sat Jan 21 18:58:01 2017,Sat Oct 22 02:59:56 2016
4,Z:\Screenshots\Screenshot_2016-10-24-00-01-27.png,425277.0,Sat Jan 21 18:58:01 2017,Mon Oct 24 00:01:28 2016
5,Z:\Screenshots\Screenshot_2016-10-24-00-01-56.png,280915.0,Sat Jan 21 18:58:01 2017,Mon Oct 24 00:01:57 2016
6,Z:\Screenshots\Screenshot_2016-10-24-00-02-05.png,286649.0,Sat Jan 21 18:58:01 2017,Mon Oct 24 00:02:06 2016
7,Z:\Screenshots\Screenshot_2016-10-24-17-34-35.png,355783.0,Sat Jan 21 18:58:02 2017,Mon Oct 24 17:34:36 2016
8,Z:\Screenshots\Screenshot_2016-10-25-00-05-48.png,332476.0,Sat Jan 21 18:58:02 2017,Tue Oct 25 00:05:49 2016
9,Z:\Screenshots\Screenshot_2016-10-25-00-06-10.png,231394.0,Sat Jan 21 18:58:02 2017,Tue Oct 25 00:06:11 2016
10,Z:\Screenshots\Screenshot_2016-10-28-06-34-03.png,123495.0,Sat Jan 21 18:58:02 2017,Fri Oct 28 03:34:03 2016
11,Z:\Screenshots\Screenshot_2016-10-28-13-08-44.png,442542.0,Sat Jan 21 18:58:02 2017,Fri Oct 28 19:08:46 2016
12,Z:\Screenshots\Screenshot_2016-10-28-13-11-36.png,127843.0,Sat Jan 21 18:58:02 2017,Fri Oct 28 19:11:37 2016
13,Z:\Screenshots\Screenshot_2016-10-28-21-34-46.png,110318.0,Sat Jan 21 18:58:02 2017,Sat Oct 29 03:34:46 2016
14,Z:\Screenshots\Screenshot_2016-10-30-13-15-55.png,203908.0,Sat Jan 21 18:58:02 2017,Sun Oct 30 13:15:56 2016
15,Z:\Screenshots\Screenshot_2016-10-30-13-25-07.png,135317.0,Sat Jan 21 18:58:02 2017,Sun Oct 30 13:25:08 2016
16,Z:\Screenshots\Screenshot_2016-10-30-13-26-11.png,104594.0,Sat Jan 21 18:58:02 2017,Sun Oct 30 13:26:12 2016
