,fpath,size,date_created,date_modified
0,S:\camstudio\aud\desktop.ini,48.0,Fri Mar 25 21:49:46 2016,Fri Mar 25 21:48:44 2016
1,S:\camstudio\aud\~temp-20151218_0237_55.wav,5867052.0,Fri Mar 25 21:49:46 2016,Thu Dec 17 22:08:29 2015
2,S:\camstudio\aud\~temp-20151218_0250_30.wav,77916204.0,Fri Mar 25 21:49:46 2016,Thu Dec 17 22:27:53 2015
3,S:\camstudio\aud\~temp-20151224_1543_57.wav,19919916.0,Fri Mar 25 21:49:51 2016,Thu Dec 24 11:15:51 2015
4,S:\camstudio\aud\~temp-20151224_1741_51.wav,437292.0,Fri Mar 25 21:49:52 2016,Thu Dec 24 13:11:54 2015
5,S:\camstudio\aud\~temp-20151224_2259_01.wav,301599944.0,Fri Mar 25 21:49:52 2016,Thu Dec 24 18:57:31 2015
6,S:\camstudio\aud\~temp-20151224_2358_00.wav,11718296.0,Fri Mar 25 21:50:11 2016,Thu Dec 24 19:29:07 2015
7,S:\camstudio\aud\~temp-20151226_2325_10.wav,12205160.0,Fri Mar 25 21:50:12 2016,Sat Dec 26 18:56:19 2015
8,S:\camstudio\aud\~temp-20151227_1631_16.wav,494793224.0,Fri Mar 25 21:50:13 2016,Sun Dec 27 12:48:06 2015
9,S:\camstudio\aud\~temp-20151228_0002_25.wav,7396496.0,Fri Mar 25 21:50:43 2016,Sun Dec 27 19:33:07 2015
10,S:\camstudio\aud\~temp-20151228_0053_27.wav,1296584.0,Fri Mar 25 21:50:44 2016,Sun Dec 27 20:23:35 2015
11,S:\camstudio\aud\~temp-20151228_0158_47.wav,1268360.0,Fri Mar 25 21:50:44 2016,Sun Dec 27 21:28:55 2015
12,S:\camstudio\aud\~temp-20151228_0252_08.wav,2982968.0,Fri Mar 25 21:50:44 2016,Sun Dec 27 22:22:25 2015
13,S:\camstudio\aud\~temp-20151228_0252_45.wav,95693516.0,Fri Mar 25 21:50:44 2016,Sun Dec 27 22:31:48 2015
14,S:\camstudio\aud\~temp-20151228_0350_13.wav,6229036.0,Fri Mar 25 21:50:50 2016,Sun Dec 27 23:20:49 2015
15,S:\camstudio\aud\~temp-20151228_0400_13.wav,442668.0,Fri Mar 25 21:50:51 2016,Sun Dec 27 23:30:16 2015
16,S:\camstudio\aud\~temp-20151228_0400_25.wav,22919724.0,Fri Mar 25 21:50:51 2016,Sun Dec 27 23:32:36 2015
17,S:\camstudio\aud\~temp-20151228_0403_21.wav,9560364.0,Fri Mar 25 21:50:52 2016,Sun Dec 27 23:34:16 2015
18,S:\camstudio\aud\~temp-20151228_0417_41.wav,4786476.0,Fri Mar 25 21:50:53 2016,Sun Dec 27 23:48:09 2015
19,S:\camstudio\aud\~temp-20151228_0422_23.wav,2815276.0,Fri Mar 25 21:50:53 2016,Sun Dec 27 23:52:40 2015
20,S:\camstudio\aud\~temp-20151228_0503_50.wav,1430648.0,Fri Mar 25 21:50:53 2016,Mon Dec 28 00:33:58 2015
21,S:\camstudio\aud\~temp-20151228_0520_30.wav,6738524.0,Fri Mar 25 21:50:53 2016,Mon Dec 28 00:51:08 2015
22,S:\camstudio\aud\~temp-20160102_0309_38.wav,37945448.0,Fri Mar 25 21:50:54 2016,Fri Jan 01 22:43:14 2016
23,S:\camstudio\aud\~temp-20160102_0341_05.wav,359776664.0,Fri Mar 25 21:50:56 2016,Fri Jan 01 23:45:05 2016
24,S:\camstudio\aud\~temp-20160102_0415_47.wav,15779024.0,Fri Mar 25 21:51:19 2016,Fri Jan 01 23:47:17 2016
25,S:\camstudio\aud\~temp-20160103_0316_27.wav,4090760.0,Fri Mar 25 21:51:20 2016,Sat Jan 02 22:46:51 2016
26,S:\camstudio\aud\~temp-20160103_0319_31.wav,3302252.0,Fri Mar 25 21:51:20 2016,Sat Jan 02 22:49:50 2016
27,S:\camstudio\aud\~temp-20160103_0321_20.wav,3847328.0,Fri Mar 25 21:51:20 2016,Sat Jan 02 22:51:42 2016
28,S:\camstudio\aud\~temp-20160103_0322_42.wav,3889664.0,Fri Mar 25 21:51:21 2016,Sat Jan 02 22:53:04 2016
29,S:\camstudio\aud\~temp-20160103_0325_31.wav,3849092.0,Fri Mar 25 21:51:21 2016,Sat Jan 02 22:55:52 2016
30,S:\camstudio\aud\~temp-20160103_0329_36.wav,4051952.0,Fri Mar 25 21:51:21 2016,Sat Jan 02 22:59:59 2016
31,S:\camstudio\aud\~temp-20160103_0348_25.wav,5824772.0,Fri Mar 25 21:51:21 2016,Sat Jan 02 23:18:59 2016
32,S:\camstudio\aud\~temp-20160103_0351_49.wav,5512544.0,Fri Mar 25 21:51:22 2016,Sat Jan 02 23:22:20 2016
33,S:\camstudio\aud\~temp-20160103_0353_50.wav,4392404.0,Fri Mar 25 21:51:22 2016,Sat Jan 02 23:24:15 2016
34,S:\camstudio\aud\~temp-20160103_0356_09.wav,4877504.0,Fri Mar 25 21:51:23 2016,Sat Jan 02 23:26:37 2016
35,S:\camstudio\aud\~temp-20160103_0358_46.wav,4612904.0,Fri Mar 25 21:51:23 2016,Sat Jan 02 23:29:12 2016
36,S:\camstudio\aud\~temp-20160103_0400_20.wav,4789304.0,Fri Mar 25 21:51:23 2016,Sat Jan 02 23:30:47 2016
37,S:\camstudio\aud\~temp-20160103_0410_09.wav,4413572.0,Fri Mar 25 21:51:24 2016,Sat Jan 02 23:40:34 2016
38,S:\camstudio\aud\~temp-20160103_0415_08.wav,2192696.0,Fri Mar 25 21:51:24 2016,Sat Jan 02 23:45:21 2016
39,S:\camstudio\aud\~temp-20160103_0422_59.wav,2587832.0,Fri Mar 25 21:51:24 2016,Sat Jan 02 23:53:14 2016
40,S:\camstudio\aud\~temp-20160103_0435_28.wav,1834604.0,Fri Mar 25 21:51:24 2016,Sun Jan 03 00:05:39 2016
41,S:\camstudio\aud\~temp-20160103_0437_31.wav,1778156.0,Fri Mar 25 21:51:24 2016,Sun Jan 03 00:07:41 2016
42,S:\camstudio\aud\~temp-20160103_0444_51.wav,1988072.0,Fri Mar 25 21:51:25 2016,Sun Jan 03 00:15:03 2016
43,S:\camstudio\aud\~temp-20160103_0447_50.wav,2402612.0,Fri Mar 25 21:51:25 2016,Sun Jan 03 00:18:04 2016
44,S:\camstudio\aud\~temp-20160103_0450_35.wav,2649572.0,Fri Mar 25 21:51:25 2016,Sun Jan 03 00:20:50 2016
45,S:\camstudio\aud\~temp-20160103_0451_20.wav,2392028.0,Fri Mar 25 21:51:25 2016,Sun Jan 03 00:21:33 2016
46,S:\camstudio\aud\~temp-20160103_0454_05.wav,3076460.0,Fri Mar 25 21:51:25 2016,Sun Jan 03 00:24:23 2016
47,S:\camstudio\aud\~temp-20160103_0457_43.wav,2323232.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:27:56 2016
48,S:\camstudio\aud\~temp-20160103_0458_53.wav,1922804.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:29:04 2016
49,S:\camstudio\aud\~temp-20160103_0500_32.wav,1649384.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:30:41 2016
50,S:\camstudio\aud\~temp-20160103_0501_37.wav,2215628.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:31:50 2016
51,S:\camstudio\aud\~temp-20160103_0503_28.wav,1700540.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:33:38 2016
52,S:\camstudio\aud\~temp-20160103_0510_34.wav,2097440.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:40:46 2016
53,S:\camstudio\aud\~temp-20160103_0511_58.wav,1919276.0,Fri Mar 25 21:51:26 2016,Sun Jan 03 00:42:10 2016
54,S:\camstudio\aud\~temp-20160103_0516_29.wav,1624688.0,Fri Mar 25 21:51:27 2016,Sun Jan 03 00:46:38 2016
55,S:\camstudio\aud\~temp-20160103_0516_58.wav,1707596.0,Fri Mar 25 21:51:27 2016,Sun Jan 03 00:47:08 2016
56,S:\camstudio\aud\~temp-20160103_2141_12.wav,18603188.0,Fri Mar 25 21:51:27 2016,Sun Jan 03 17:12:58 2016
57,S:\camstudio\aud\~temp-20160103_2308_23.avi,30572032.0,Fri Mar 25 21:51:28 2016,Sun Jan 03 18:46:33 2016
58,S:\camstudio\aud\~temp-20160103_2308_23.wav,86353136.0,Fri Mar 25 21:51:30 2016,Sun Jan 03 18:46:33 2016
59,S:\camstudio\aud\~temp-20160105_2038_58.wav,47811500.0,Fri Mar 25 21:51:35 2016,Tue Jan 05 16:13:29 2016
60,S:\camstudio\aud\~temp-20160105_2045_58.wav,55188548.0,Fri Mar 25 21:51:38 2016,Tue Jan 05 16:21:11 2016
61,S:\camstudio\aud\~temp-20160105_2318_19.wav,45260756.0,Fri Mar 25 21:51:42 2016,Tue Jan 05 18:52:35 2016
62,S:\camstudio\aud\~temp-20160106_0051_52.wav,5500196.0,Fri Mar 25 21:51:45 2016,Tue Jan 05 20:22:24 2016
63,S:\camstudio\aud\~temp-20160106_0103_02.wav,7477640.0,Fri Mar 25 21:51:46 2016,Tue Jan 05 20:33:44 2016
64,S:\camstudio\aud\~temp-20160106_0319_36.avi,28187136.0,Fri Mar 25 21:51:47 2016,Tue Jan 05 22:53:12 2016
65,S:\camstudio\aud\~temp-20160107_0014_19.wav,305216.0,Fri Mar 25 21:51:49 2016,Wed Jan 06 19:44:21 2016
66,S:\camstudio\aud\~temp-20160107_0021_40.wav,3505112.0,Fri Mar 25 21:51:49 2016,Wed Jan 06 19:52:00 2016
67,S:\camstudio\aud\~temp-20160107_0026_35.wav,7989200.0,Fri Mar 25 21:51:50 2016,Wed Jan 06 19:57:21 2016
68,S:\camstudio\aud\~temp-20160107_0031_18.wav,2598416.0,Fri Mar 25 21:51:50 2016,Wed Jan 06 20:01:32 2016
