,fpath,size,date_created,date_modified
0,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_180032_001.MP4,25611786.0,Sun Apr 15 18:00:32 2018,Sun Apr 15 18:00:38 2018
1,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_180321_002.MP4,3798610.0,Sun Apr 15 18:03:20 2018,Sun Apr 15 18:03:22 2018
2,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_180746_003.MP4,629505718.0,Sun Apr 15 18:07:46 2018,Sun Apr 15 18:11:08 2018
3,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_181637_004.MP4,394901466.0,Sun Apr 15 18:16:36 2018,Sun Apr 15 18:18:44 2018
4,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_182555_005.MP4,994939750.0,Sun Apr 15 18:25:54 2018,Sun Apr 15 18:31:16 2018
5,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_184708_006.MP4,231711226.0,Sun Apr 15 18:47:08 2018,Sun Apr 15 18:48:22 2018
6,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_185344_007.MP4,465916326.0,Sun Apr 15 18:53:44 2018,Sun Apr 15 18:56:14 2018
7,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_185804_008.MP4,14046246.0,Sun Apr 15 18:58:04 2018,Sun Apr 15 18:58:08 2018
8,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_185836_009.MP4,70696874.0,Sun Apr 15 18:58:36 2018,Sun Apr 15 18:58:58 2018
9,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_185904_010.MP4,250970906.0,Sun Apr 15 18:59:04 2018,Sun Apr 15 19:00:24 2018
10,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_190029_011.MP4,4958994.0,Sun Apr 15 19:00:28 2018,Sun Apr 15 19:00:30 2018
11,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_190207_012.MP4,149329098.0,Sun Apr 15 19:02:06 2018,Sun Apr 15 19:02:54 2018
12,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_190305_013.MP4,787512390.0,Sun Apr 15 19:03:04 2018,Sun Apr 15 19:07:18 2018
13,F:\fzj_temp_dump\4kcam\044900_4_17_2018\2018_0415_190723_014.MP4,8164402.0,Sun Apr 15 19:07:22 2018,Sun Apr 15 19:07:24 2018
14,F:\fzj_temp_dump\4kcam\05_21_2018_230600\2018_0101_000006_002.MP4,163932317.0,Sun Dec 31 23:00:06 2017,Sun Dec 31 23:01:10 2017
