,fpath,size,date_created,date_modified
0,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000079.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
1,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000109.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
2,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000220.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
3,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000383.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
4,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00003c8.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
5,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000427.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
6,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00004f7.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
7,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000587.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
8,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00005f5.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
9,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000676.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
10,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00006af.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
11,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00007ee.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
12,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e000080b.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
13,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000950.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
14,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e00009ef.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
15,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000adf.auf,3104.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
16,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000b88.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
17,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000bbf.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
18,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000bdc.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
19,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000c4b.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
20,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000c5e.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
21,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000d64.auf,3104.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
22,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000df7.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
23,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000f4f.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
24,C:\Users\synapse\Desktop\testing\1732samson aligned data\e00\d00\e0000f8d.auf,12356.0,Wed Dec 23 13:11:30 2015,Wed Dec 23 13:11:30 2015
