ID,RNDID,SNO
NAME,264,1
220004,21704,2
220012,13186,3
220036,9585,4
220052,20977,5
220071,19789,6
220072,16237,7
220081,25268,8
220084,15794,9
220093,21148,10
220096,23256,11
220105,30082,12
220110,10395,13
220112,6843,14
220113,30876,15
220125,2729,16
220127,12206,17
220133,9393,18
220137,26145,19
220160,30485,20
220165,21130,21
220170,19829,22
220171,11540,23
220187,32457,24
220192,17000,25
220193,5214,26
220194,6237,27
220196,24846,28
220203,8442,29
220214,22540,30
220226,4270,31
220227,7169,32
220229,4741,33
220232,23304,34
220244,8186,35
220245,13552,36
220248,21050,37
220250,22913,38
220270,11527,39
220272,1433,40
220277,29516,41
220285,9383,42
220318,10955,43
220328,19693,44
220334,32215,45
220336,1597,46
220337,30080,47
220348,8588,48
220366,2724,49
220391,8991,50
220396,24164,51
220397,9553,52
220404,20163,53
220417,13453,54
220424,28959,55
220435,30596,56
220438,22439,57
220439,32536,58
220444,5968,59
220445,23346,60
220446,30172,61
220451,10485,62
220459,28929,63
220460,26849,64
220464,14776,65
220472,18951,66
220482,4633,67
220496,22903,68
220510,28030,69
220515,3557,70
220524,6999,71
220525,23183,72
220530,1642,73
220533,4302,74
220544,5448,75
220546,30318,76
220548,30834,77
220551,28244,78
220553,15835,79
220559,23058,80
220561,22883,81
220567,32751,82
220571,27852,83
220572,5853,84
220574,21652,85
220576,16014,86
220579,12514,87
220580,24083,88
220585,1916,89
220591,13253,90
220597,18577,91
220599,9042,92
220600,24841,93
220601,12148,94
220605,3239,95
220606,25073,96
220607,6626,97
220613,20333,98
220617,23946,99
220618,25922,100
220621,7416,101
220624,20103,102
220626,27668,103
220632,5501,104
220637,23331,105
220651,17180,106
220655,12388,107
220667,26889,108
220679,6469,109
220700,29708,110
220710,3672,111
220727,31981,112
220730,2261,113
220734,28099,114
220735,13995,115
220751,743,116
220756,29458,117
220764,1424,118
220768,5486,119
220773,248,120
220775,11976,121
220781,10003,122
220788,18794,123
220806,24374,124
220809,26744,125
220814,4699,126
220838,24154,127
220848,298,128
220856,16097,129
220863,25400,130
220887,19197,131
220888,21912,132
220895,21964,133
220911,21176,134
220914,9806,135
220919,30669,136
220925,14998,137
220926,18324,138
220939,2033,139
220941,28085,140
220953,25605,141
220967,3053,142
220968,4574,143
220978,11222,144
220984,28139,145
220985,9815,146
220993,13996,147
220996,31429,148
221009,7289,149
221013,5505,150
221014,18876,151
221034,432,152
221045,19221,153
221065,5456,154
221074,3547,155
221078,11946,156
221086,21190,157
221089,11942,158
221092,4380,159
221094,6701,160
221112,5968,161
221113,7489,162
221114,13756,163
221121,12516,164
221123,31577,165
221124,2932,166
221139,10995,167
221140,23798,168
221151,2331,169
221152,5318,170
221153,17388,171
221154,2844,172
221161,4139,173
221163,20326,174
221179,11704,175
221181,28960,176
221192,31724,177
221193,23102,178
221198,7590,179
221210,14584,180
221218,10292,181
221228,3182,182
221229,17790,183
221238,19094,184
221253,1157,185
221254,24845,186
221255,5338,187
221268,19097,188
221275,25077,189
221276,30892,190
221289,27844,191
221316,17976,192
221320,31024,193
221337,26852,194
221352,5418,195
221355,24882,196
221363,1139,197
221365,10161,198
221371,19586,199
221372,1652,200
221375,12366,201
221376,1600,202
221389,19818,203
221394,6447,204
221397,12533,205
221402,13098,206
221405,24148,207
221407,22175,208
221418,1993,209
221419,24774,210
221420,12762,211
221438,19536,212
221439,24441,213
221441,18858,214
221442,25183,215
221450,10707,216
221451,9241,217
221452,30107,218
221454,14265,219
221484,25715,220
221504,7891,221
221528,12127,222
221530,4232,223
221531,10829,224
221538,26909,225
221548,2207,226
221549,3841,227
221577,22275,228
221578,1012,229
221579,4008,230
221580,10,231
221585,19923,232
221587,14056,233
221589,2628,234
221590,7032,235
221597,30775,236
221598,22886,237
221600,29941,238
221608,10819,239
221630,23843,240
221670,12451,241
221684,22206,242
221687,8789,243
221691,29545,244
221699,20914,245
221707,2308,246
221710,2250,247
221724,31240,248
221736,32715,249
221746,32654,250
221770,18746,251
221775,18013,252
221812,3686,253
221829,21345,254
221848,6679,255
221855,2055,256
221859,6517,257
221861,32120,258
221870,29698,259
221880,27218,260
221901,17240,261
221903,13291,262
221909,3804,263
221972,18641,264
221976,18192,265
221996,7588,266
222010,16842,267
222069,26939,268
222081,2912,269
222096,29086,270
222114,25027,271
222120,2466,272
222121,722,273
222126,29389,274
222127,17939,275
222144,4351,276
222166,28094,277
222167,7567,278
222185,1422,279
222192,9830,280
222193,20999,281
222201,17276,282
222202,9946,283
222203,23430,284
222213,6329,285
222223,22797,286
222226,126,287
222235,8760,288
222250,2728,289
222255,1601,290
222257,3070,291
222266,15931,292
222271,21068,293
222281,16386,294
222282,5404,295
222285,7890,296
222286,29208,297
222304,29379,298
222325,23405,299
222330,6879,300
222353,10321,301
222371,10269,302
222378,13934,303
222380,22229,304
222382,11402,305
222392,798,306
222404,28593,307
222413,9645,308
222440,16923,309
222442,18618,310
222444,19580,311
222447,32609,312
222464,17106,313
222479,935,314
222520,13857,315
222528,31342,316
222534,14993,317
222537,16633,318
222547,20963,319
222581,14198,320
222588,24411,321
222599,23116,322
222601,19396,323
222648,27291,324
222649,23458,325
222658,32260,326
222735,32767,327
222738,3893,328
222740,11920,329
222745,26473,330
222747,17787,331
222752,27435,332
222779,4990,333
222809,14690,334
222810,28510,335
222816,13343,336
222828,11935,337
222835,24173,338
222857,14418,339
222878,12209,340
222881,25916,341
222892,24731,342
222987,10746,343
223055,16842,344
223058,16784,345
223094,30717,346
223104,829,347
223126,1617,348
223128,26325,349
223138,27113,350
223169,11662,351
223186,2543,352
223187,6715,353
223199,28039,354
223229,2714,355
223269,5649,356
223274,4412,357
223309,14225,358
