,fpath,size,date_created,date_modified
0,S:\9_11_2016\20160827_154459.jpg,3121774.0,Sat Aug 27 21:44:59 2016,Sat Aug 27 21:44:58 2016
1,S:\9_11_2016\20160827_155124.jpg,1953008.0,Sat Aug 27 21:51:24 2016,Sat Aug 27 21:51:24 2016
2,S:\9_11_2016\20160827_155142.jpg,2866610.0,Sat Aug 27 21:51:42 2016,Sat Aug 27 21:51:42 2016
3,S:\9_11_2016\20160827_155233.jpg,3079768.0,Sat Aug 27 21:52:34 2016,Sat Aug 27 21:52:32 2016
4,S:\9_11_2016\20160827_160844.jpg,1599644.0,Sat Aug 27 22:08:44 2016,Sat Aug 27 22:08:44 2016
5,S:\9_11_2016\20160827_160919.jpg,2931034.0,Sat Aug 27 22:09:20 2016,Sat Aug 27 22:09:18 2016
6,S:\9_11_2016\20160827_160944.jpg,1385026.0,Sat Aug 27 22:09:45 2016,Sat Aug 27 22:09:44 2016
7,S:\9_11_2016\20160827_161016.jpg,2428955.0,Sat Aug 27 22:10:16 2016,Sat Aug 27 22:10:16 2016
8,S:\9_11_2016\20160827_162826.jpg,2762554.0,Sat Aug 27 22:28:26 2016,Sat Aug 27 22:28:26 2016
9,S:\9_11_2016\20160828_091030.jpg,3473110.0,Sun Aug 28 15:10:31 2016,Sun Aug 28 15:10:30 2016
10,S:\9_11_2016\20160828_091106.jpg,2731198.0,Sun Aug 28 15:11:06 2016,Sun Aug 28 15:11:06 2016
11,S:\9_11_2016\20160828_091142.jpg,3123766.0,Sun Aug 28 15:11:43 2016,Sun Aug 28 15:11:42 2016
12,S:\9_11_2016\20160828_091216.jpg,2222242.0,Sun Aug 28 15:12:17 2016,Sun Aug 28 15:12:16 2016
13,S:\9_11_2016\20160828_091245.jpg,2003889.0,Sun Aug 28 15:12:46 2016,Sun Aug 28 15:12:44 2016
14,S:\9_11_2016\20160828_091332.jpg,2071306.0,Sun Aug 28 15:13:33 2016,Sun Aug 28 15:13:32 2016
15,S:\9_11_2016\20160828_213905.jpg,2067430.0,Mon Aug 29 03:39:05 2016,Mon Aug 29 03:39:04 2016
16,S:\9_11_2016\20160828_213909.mp4,4206027.0,Mon Aug 29 03:39:13 2016,Mon Aug 29 03:39:12 2016
17,S:\9_11_2016\20160828_213915.mp4,6279102.0,Mon Aug 29 03:39:21 2016,Mon Aug 29 03:39:20 2016
18,S:\9_11_2016\20160830_191733.mp4,17751420.0,Wed Aug 31 01:17:46 2016,Wed Aug 31 01:17:46 2016
19,S:\9_11_2016\20160830_213543.mp4,8493524.0,Wed Aug 31 03:35:51 2016,Wed Aug 31 03:35:50 2016
20,S:\9_11_2016\20160831_044749.mp4,152070145.0,Wed Aug 31 10:49:31 2016,Wed Aug 31 10:49:30 2016
21,S:\9_11_2016\20160831_110125.jpg,2184229.0,Wed Aug 31 17:01:25 2016,Wed Aug 31 17:01:24 2016
22,S:\9_11_2016\20160831_115635.jpg,2417868.0,Wed Aug 31 17:56:35 2016,Wed Aug 31 17:56:34 2016
23,S:\9_11_2016\20160901_043850.jpg,2402826.0,Thu Sep 01 10:38:52 2016,Thu Sep 01 10:38:50 2016
24,S:\9_11_2016\20160901_043859.jpg,2150917.0,Thu Sep 01 10:38:59 2016,Thu Sep 01 10:38:58 2016
25,S:\9_11_2016\20160901_043903.jpg,2330665.0,Thu Sep 01 10:39:03 2016,Thu Sep 01 10:39:02 2016
26,S:\9_11_2016\20160901_043904.jpg,2322189.0,Thu Sep 01 10:39:04 2016,Thu Sep 01 10:39:04 2016
27,S:\9_11_2016\20160901_060049.mp4,84440160.0,Thu Sep 01 12:01:46 2016,Thu Sep 01 12:01:46 2016
28,S:\9_11_2016\20160901_065227.mp4,42720587.0,Thu Sep 01 12:52:57 2016,Thu Sep 01 12:52:56 2016
29,S:\9_11_2016\20160901_065321.jpg,1380049.0,Thu Sep 01 12:53:21 2016,Thu Sep 01 12:53:20 2016
30,S:\9_11_2016\20160901_065324.jpg,1305147.0,Thu Sep 01 12:53:24 2016,Thu Sep 01 12:53:24 2016
31,S:\9_11_2016\20160901_065332.jpg,1343255.0,Thu Sep 01 12:53:32 2016,Thu Sep 01 12:53:32 2016
32,S:\9_11_2016\20160901_082532.jpg,2240713.0,Thu Sep 01 14:25:32 2016,Thu Sep 01 14:25:32 2016
33,S:\9_11_2016\20160901_082544.jpg,2642419.0,Thu Sep 01 14:25:44 2016,Thu Sep 01 14:25:44 2016
34,S:\9_11_2016\20160901_233831.jpg,4402239.0,Fri Sep 02 05:38:31 2016,Fri Sep 02 05:38:30 2016
35,S:\9_11_2016\20160901_233849.jpg,3170468.0,Fri Sep 02 05:38:49 2016,Fri Sep 02 05:38:48 2016
36,S:\9_11_2016\20160901_233850.jpg,2972427.0,Fri Sep 02 05:38:50 2016,Fri Sep 02 05:38:50 2016
37,S:\9_11_2016\20160902_000527.jpg,2697340.0,Fri Sep 02 06:05:27 2016,Fri Sep 02 06:05:26 2016
38,S:\9_11_2016\20160902_000531.jpg,2395039.0,Fri Sep 02 06:05:31 2016,Fri Sep 02 06:05:30 2016
39,S:\9_11_2016\20160902_000537.jpg,2555289.0,Fri Sep 02 06:05:38 2016,Fri Sep 02 06:05:36 2016
40,S:\9_11_2016\20160902_000548.jpg,2923040.0,Fri Sep 02 06:05:48 2016,Fri Sep 02 06:05:48 2016
41,S:\9_11_2016\20160902_021214.jpg,2229202.0,Fri Sep 02 08:12:14 2016,Fri Sep 02 08:12:14 2016
42,S:\9_11_2016\20160902_021321.jpg,1619396.0,Fri Sep 02 08:13:22 2016,Fri Sep 02 08:13:20 2016
43,S:\9_11_2016\20160902_032834.jpg,1130504.0,Fri Sep 02 09:28:35 2016,Fri Sep 02 09:28:34 2016
44,S:\9_11_2016\20160902_032837.jpg,1130557.0,Fri Sep 02 09:28:38 2016,Fri Sep 02 09:28:36 2016
45,S:\9_11_2016\20160902_032908.jpg,2366112.0,Fri Sep 02 09:29:09 2016,Fri Sep 02 09:29:08 2016
46,S:\9_11_2016\20160902_032938.jpg,2747974.0,Fri Sep 02 09:29:38 2016,Fri Sep 02 09:29:38 2016
47,S:\9_11_2016\20160902_071731.jpg,1684219.0,Fri Sep 02 13:17:31 2016,Fri Sep 02 13:17:30 2016
48,S:\9_11_2016\20160902_074104.jpg,2131378.0,Fri Sep 02 13:41:05 2016,Fri Sep 02 13:41:04 2016
49,S:\9_11_2016\20160902_081315.jpg,2357476.0,Fri Sep 02 14:13:15 2016,Fri Sep 02 14:13:14 2016
50,S:\9_11_2016\20160902_082900.jpg,1576191.0,Fri Sep 02 14:29:01 2016,Fri Sep 02 14:29:00 2016
51,S:\9_11_2016\20160902_083442.jpg,1537068.0,Fri Sep 02 14:34:42 2016,Fri Sep 02 14:34:42 2016
52,S:\9_11_2016\20160902_110532.jpg,2577611.0,Fri Sep 02 17:05:32 2016,Fri Sep 02 17:05:32 2016
53,S:\9_11_2016\20160902_110545.jpg,2185659.0,Fri Sep 02 17:05:45 2016,Fri Sep 02 17:05:44 2016
54,S:\9_11_2016\20160902_112113.jpg,1470098.0,Fri Sep 02 17:21:13 2016,Fri Sep 02 17:21:12 2016
55,S:\9_11_2016\20160902_113731.jpg,1658891.0,Fri Sep 02 17:37:31 2016,Fri Sep 02 17:37:30 2016
56,S:\9_11_2016\20160902_113732.jpg,1729799.0,Fri Sep 02 17:37:32 2016,Fri Sep 02 17:37:32 2016
57,S:\9_11_2016\20160906_120040.mp4,35525003.0,Tue Sep 06 18:02:01 2016,Tue Sep 06 18:02:00 2016
58,S:\9_11_2016\20160906_124142.mp4,4575888.0,Tue Sep 06 18:41:53 2016,Tue Sep 06 18:41:52 2016
