,fpath,size,date_created,date_modified
0,S:\s3_9\10_2_2016\env\20161001_025035.jpg,3549113.0,Fri Oct 07 10:59:35 2016,Sat Oct 01 08:50:35 2016
1,S:\s3_9\10_2_2016\env\20161001_025038.jpg,4522869.0,Fri Oct 07 10:59:36 2016,Sat Oct 01 08:50:39 2016
2,S:\s3_9\10_2_2016\env\20161001_025042.jpg,4026875.0,Fri Oct 07 10:59:36 2016,Sat Oct 01 08:50:42 2016
3,S:\s3_9\10_2_2016\env\20161001_025050.jpg,3443615.0,Fri Oct 07 10:59:36 2016,Sat Oct 01 08:50:50 2016
4,S:\s3_9\10_2_2016\env\20161001_025053.jpg,3323360.0,Fri Oct 07 10:59:36 2016,Sat Oct 01 08:50:53 2016
5,S:\s3_9\10_2_2016\env\20161001_030234.mp4,5120200.0,Fri Oct 07 10:59:37 2016,Sat Oct 01 09:02:46 2016
6,S:\s3_9\10_2_2016\env\20161001_030830.mp4,37430029.0,Fri Oct 07 10:59:37 2016,Sat Oct 01 09:09:55 2016
7,S:\s3_9\10_2_2016\env\20161001_031533.mp4,30705882.0,Fri Oct 07 10:59:39 2016,Sat Oct 01 09:16:43 2016
8,S:\s3_9\10_2_2016\env\20161001_033524.mp4,64403369.0,Fri Oct 07 10:59:41 2016,Sat Oct 01 09:37:49 2016
9,S:\s3_9\10_2_2016\env\20161001_033750.mp4,341276374.0,Fri Oct 07 10:59:45 2016,Sat Oct 01 09:50:34 2016
10,S:\s3_9\10_2_2016\env\20161001_040152.mp4,2336021.0,Fri Oct 07 11:00:05 2016,Sat Oct 01 10:02:00 2016
11,S:\s3_9\10_2_2016\env\20161001_051202.jpg,3118384.0,Fri Oct 07 11:00:05 2016,Sat Oct 01 11:12:03 2016
12,S:\s3_9\10_2_2016\env\20161001_051206.jpg,3332468.0,Fri Oct 07 11:00:05 2016,Sat Oct 01 11:12:06 2016
13,S:\s3_9\10_2_2016\env\20161001_051208.jpg,3301557.0,Fri Oct 07 11:00:06 2016,Sat Oct 01 11:12:09 2016
14,S:\s3_9\10_2_2016\env\20161001_051213.jpg,3046654.0,Fri Oct 07 11:00:06 2016,Sat Oct 01 11:12:13 2016
15,S:\s3_9\10_2_2016\env\20161001_051218.jpg,2684040.0,Fri Oct 07 11:00:06 2016,Sat Oct 01 11:12:19 2016
16,S:\s3_9\10_2_2016\env\20161001_051230.jpg,2526323.0,Fri Oct 07 11:00:06 2016,Sat Oct 01 11:12:31 2016
17,S:\s3_9\10_2_2016\env\20161001_051234.jpg,3349926.0,Fri Oct 07 11:00:06 2016,Sat Oct 01 11:12:34 2016
18,S:\s3_9\10_2_2016\env\20161001_051255.jpg,3569793.0,Fri Oct 07 11:00:07 2016,Sat Oct 01 11:12:55 2016
19,S:\s3_9\10_2_2016\env\20161001_051259.jpg,3399135.0,Fri Oct 07 11:00:07 2016,Sat Oct 01 11:12:59 2016
20,S:\s3_9\10_2_2016\env\20161001_051303.jpg,3423540.0,Fri Oct 07 11:00:07 2016,Sat Oct 01 11:13:03 2016
21,S:\s3_9\10_2_2016\env\20161001_051307.jpg,3261690.0,Fri Oct 07 11:00:07 2016,Sat Oct 01 11:13:07 2016
22,S:\s3_9\10_2_2016\env\20161001_051402.jpg,3260208.0,Fri Oct 07 11:00:07 2016,Sat Oct 01 11:14:02 2016
23,S:\s3_9\10_2_2016\env\20161001_051420.mp4,9342886.0,Fri Oct 07 11:00:08 2016,Sat Oct 01 11:14:42 2016
24,S:\s3_9\10_2_2016\env\20161001_051448.mp4,17018153.0,Fri Oct 07 11:00:08 2016,Sat Oct 01 11:15:27 2016
25,S:\s3_9\10_2_2016\env\20161001_051634.jpg,2040697.0,Fri Oct 07 11:00:09 2016,Sat Oct 01 11:16:34 2016
26,S:\s3_9\10_2_2016\env\20161001_051638.jpg,2326812.0,Fri Oct 07 11:00:09 2016,Sat Oct 01 11:16:38 2016
27,S:\s3_9\10_2_2016\env\20161001_051642.jpg,2746999.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:16:42 2016
28,S:\s3_9\10_2_2016\env\20161001_051701.jpg,3249265.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:17:01 2016
29,S:\s3_9\10_2_2016\env\20161001_051707.jpg,2400357.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:17:07 2016
30,S:\s3_9\10_2_2016\env\20161001_051711.jpg,3959045.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:17:11 2016
31,S:\s3_9\10_2_2016\env\20161001_051723.jpg,2612983.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:17:23 2016
32,S:\s3_9\10_2_2016\env\20161001_051729.jpg,4137700.0,Fri Oct 07 11:00:10 2016,Sat Oct 01 11:17:30 2016
33,S:\s3_9\10_2_2016\env\20161001_051739.jpg,4174756.0,Fri Oct 07 11:00:11 2016,Sat Oct 01 11:17:40 2016
34,S:\s3_9\10_2_2016\env\20161001_051745.jpg,3794348.0,Fri Oct 07 11:00:11 2016,Sat Oct 01 11:17:45 2016
35,S:\s3_9\10_2_2016\env\20161001_051754.jpg,2146538.0,Fri Oct 07 11:00:11 2016,Sat Oct 01 11:17:54 2016
36,S:\s3_9\10_2_2016\env\20161001_051839.jpg,1829313.0,Fri Oct 07 11:00:11 2016,Sat Oct 01 11:18:39 2016
37,S:\s3_9\10_2_2016\env\20161001_051843.jpg,3692227.0,Fri Oct 07 11:00:12 2016,Sat Oct 01 11:18:43 2016
38,S:\s3_9\10_2_2016\env\20161001_051846.jpg,3516346.0,Fri Oct 07 11:00:12 2016,Sat Oct 01 11:18:46 2016
39,S:\s3_9\10_2_2016\env\20161001_051849.jpg,3176835.0,Fri Oct 07 11:00:12 2016,Sat Oct 01 11:18:49 2016
40,S:\s3_9\10_2_2016\env\20161001_051854.jpg,3300675.0,Fri Oct 07 11:00:12 2016,Sat Oct 01 11:18:54 2016
41,S:\s3_9\10_2_2016\env\20161001_051904.jpg,3424094.0,Fri Oct 07 11:00:12 2016,Sat Oct 01 11:19:04 2016
42,S:\s3_9\10_2_2016\env\20161001_051911.jpg,2323222.0,Fri Oct 07 11:00:13 2016,Sat Oct 01 11:19:11 2016
43,S:\s3_9\10_2_2016\env\20161001_053915.mp4,35587830.0,Fri Oct 07 11:00:13 2016,Sat Oct 01 11:40:36 2016
44,S:\s3_9\10_2_2016\env\20161001_060519.mp4,1885908.0,Fri Oct 07 11:00:15 2016,Sat Oct 01 12:05:24 2016
45,S:\s3_9\10_2_2016\env\20161001_064712.mp4,6517863.0,Fri Oct 07 11:00:15 2016,Sat Oct 01 12:47:28 2016
46,S:\s3_9\10_2_2016\env\20161001_064803.mp4,15005627.0,Fri Oct 07 11:00:15 2016,Sat Oct 01 12:48:38 2016
47,S:\s3_9\10_2_2016\env\20161001_083009.mp4,16043343.0,Fri Oct 07 11:00:16 2016,Sat Oct 01 14:30:46 2016
48,S:\s3_9\10_2_2016\env\20161001_095733.mp4,3917761.0,Fri Oct 07 11:00:17 2016,Sat Oct 01 15:57:43 2016
