,fpath,size,date_created,date_modified
0,S:\camstudio\vids\1jan_1apr_2015_news.avi,183064576.0,Sat Aug 20 21:08:18 2016,Sun Jan 03 18:31:00 2016
1,S:\camstudio\vids\1jun_1sep_2014_news.avi,9755648.0,Sat Aug 20 21:08:34 2016,Sun Jan 03 18:46:57 2016
2,S:\camstudio\vids\alec_baldwin.avi,13834752.0,Sat Aug 20 21:08:35 2016,Sun Mar 13 08:54:45 2016
3,S:\camstudio\vids\bear_tranquilizr.avi,9768960.0,Sat Aug 20 21:08:36 2016,Fri Feb 05 16:23:38 2016
4,S:\camstudio\vids\beep_song.avi,50987008.0,Sat Aug 20 21:08:37 2016,Tue Jan 05 20:37:26 2016
5,S:\camstudio\vids\bell.avi,23405056.0,Sat Aug 20 21:08:42 2016,Thu Dec 24 19:29:07 2015
6,S:\camstudio\vids\bigb.avi,1766400.0,Sat Aug 20 21:08:44 2016,Fri Jan 15 17:42:11 2016
7,S:\camstudio\vids\bus_ads_softbank_fraud_leader_thinklikeaman_nyacademy_again_orig_from_1_27_2016_1639.avi,331387122.0,Sat Aug 20 21:08:44 2016,Tue Mar 01 13:23:45 2016
8,S:\camstudio\vids\capone_trnsct_adp_prevention.avi,28189696.0,Sat Aug 20 21:09:29 2016,Thu Feb 18 17:07:39 2016
9,S:\camstudio\vids\china_nws_1.avi,2031616.0,Sat Aug 20 21:09:34 2016,Mon Jan 25 14:24:22 2016
10,S:\camstudio\vids\china_nws_2.avi,76992000.0,Sat Aug 20 21:09:34 2016,Mon Jan 25 14:45:56 2016
11,S:\camstudio\vids\cj_sansom_dark_fire.avi,58825728.0,Sat Aug 20 21:09:48 2016,Fri Mar 11 21:11:53 2016
12,S:\camstudio\vids\cp_cop_call_early_march_emails.avi,7499264.0,Sat Aug 20 21:10:01 2016,Thu Feb 18 22:23:19 2016
13,S:\camstudio\vids\crfcheckaud.avi,5764608.0,Sat Aug 20 21:10:03 2016,Sun Dec 27 22:32:46 2015
14,S:\camstudio\vids\crf_bkmrk_1.avi,13160448.0,Sat Aug 20 21:10:05 2016,Thu Dec 17 22:08:29 2015
15,S:\camstudio\vids\crf_bkmrk_2_collapsed_buildings.avi,270197760.0,Sat Aug 20 21:10:07 2016,Thu Dec 17 22:27:53 2015
16,S:\camstudio\vids\crf_calc_har.avi,2892800.0,Sat Aug 20 21:11:02 2016,Mon Dec 28 00:33:58 2015
