,fpath,size,date_created,date_modified
0,S:\mobius\REC_0001.MOV,252216231.0,Mon Aug 22 03:09:09 2016,Mon Jul 25 16:50:27 2016
1,S:\mobius\REC_0002.MOV,1234202743.0,Mon Aug 22 03:09:25 2016,Mon Jul 25 17:01:16 2016
2,S:\mobius\REC_0003.MOV,590032251.0,Mon Aug 22 03:10:40 2016,Mon Jul 25 17:06:03 2016
3,S:\mobius\REC_0004.MOV,15600703.0,Mon Aug 22 03:11:15 2016,Mon Jul 25 17:06:15 2016
4,S:\mobius\REC_0005.MOV,6948815.0,Mon Aug 22 03:11:16 2016,Tue Jul 26 00:11:20 2016
5,S:\mobius\REC_0006.MOV,1228697719.0,Mon Aug 22 03:11:17 2016,Tue Jul 26 00:21:51 2016
6,S:\mobius\REC_0007.MOV,466546547.0,Mon Aug 22 03:12:32 2016,Tue Jul 26 00:25:38 2016
7,S:\mobius\REC_0008.MOV,850112363.0,Mon Aug 22 03:13:00 2016,Tue Jul 26 00:55:22 2016
8,S:\mobius\REC_0009.MOV,1229222007.0,Mon Aug 22 03:13:52 2016,Tue Jul 26 01:10:34 2016
9,S:\mobius\REC_0010.MOV,1228959863.0,Mon Aug 22 03:15:07 2016,Tue Jul 26 01:20:34 2016
10,S:\mobius\REC_0011.MOV,12061267.0,Mon Aug 22 03:16:23 2016,Tue Jul 26 01:20:38 2016
11,S:\mobius\REC_0012.MOV,222327947.0,Mon Aug 22 03:16:24 2016,Tue Jul 26 01:22:41 2016
12,S:\mobius\REC_0013.MOV,13109983.0,Mon Aug 22 03:16:37 2016,Tue Jul 26 01:22:51 2016
13,S:\mobius\REC_0014.MOV,1226862711.0,Mon Aug 22 03:16:38 2016,Tue Jul 26 16:26:42 2016
14,S:\mobius\REC_0015.MOV,355907459.0,Mon Aug 22 03:17:53 2016,Tue Jul 26 16:29:34 2016
15,S:\mobius\REC_0016.MOV,418830275.0,Mon Aug 22 03:18:16 2016,Tue Jul 26 22:17:10 2016
16,S:\mobius\REC_0017.MOV,1111372991.0,Mon Aug 22 03:18:42 2016,Tue Jul 26 22:27:06 2016
17,S:\mobius\7_27\REC_0001.MOV,71313491.0,Mon Aug 22 03:19:49 2016,Wed Jul 27 13:53:23 2016
18,S:\mobius\7_27\REC_0002.MOV,701982259.0,Mon Aug 22 03:19:54 2016,Wed Jul 27 14:00:50 2016
19,S:\mobius\7_27\REC_0003.MOV,601568171.0,Mon Aug 22 03:20:36 2016,Wed Jul 27 14:06:04 2016
20,S:\mobius\7_27\REC_0004.MOV,679828295.0,Mon Aug 22 03:21:13 2016,Wed Jul 27 14:12:04 2016
21,S:\mobius\7_27\REC_0005.MOV,1167610055.0,Mon Aug 22 03:21:55 2016,Wed Jul 27 23:29:43 2016
22,S:\mobius\7_27\REC_0006.MOV,388286515.0,Mon Aug 22 03:23:08 2016,Wed Jul 27 23:36:04 2016
23,S:\mobius\7_27\REC_0007.MOV,17437975.0,Mon Aug 22 03:23:32 2016,Wed Jul 27 23:36:04 2016
24,S:\mobius\7_27\REC_0008.MOV,133187427.0,Mon Aug 22 03:23:33 2016,Wed Jul 27 23:37:20 2016
25,S:\mobius\7_27\REC_0009_1.mp4,15581628.0,Mon Aug 22 03:23:42 2016,Thu Jul 28 11:49:37 2016
26,S:\mobius\7_27\REC_0009_2.mp4,23228407.0,Mon Aug 22 03:23:43 2016,Thu Jul 28 11:53:31 2016
27,S:\mobius\7_27\REC_0010.MOV,133056363.0,Mon Aug 22 03:23:45 2016,Thu Jul 28 00:32:00 2016
28,S:\mobius\7_27\REC_0011.MOV,10094939.0,Mon Aug 22 03:23:54 2016,Thu Jul 28 00:37:31 2016
29,S:\mobius\7_27\REC_0012.MOV,181297055.0,Mon Aug 22 03:23:54 2016,Thu Jul 28 00:39:14 2016
30,S:\mobius\7_27\REC_0013.MOV,101332799.0,Mon Aug 22 03:24:06 2016,Thu Jul 28 00:40:07 2016
31,S:\mobius\7_27\REC_0014.MOV,7473183.0,Mon Aug 22 03:24:12 2016,Thu Jul 28 00:40:12 2016
32,S:\mobius\7_27\REC_0015.MOV,130827851.0,Mon Aug 22 03:24:12 2016,Thu Jul 28 00:41:19 2016
33,S:\mobius\7_27\REC_0016.MOV,109591439.0,Mon Aug 22 03:24:21 2016,Thu Jul 28 01:00:51 2016
34,S:\mobius\7_27\REC_0017.MOV,12061307.0,Mon Aug 22 03:24:28 2016,Thu Jul 28 01:01:01 2016
35,S:\mobius\7_27\REC_0018.MOV,89534799.0,Mon Aug 22 03:24:28 2016,Thu Jul 28 01:01:47 2016
36,S:\mobius\7_27\REC_0019.MOV,78392195.0,Mon Aug 22 03:24:34 2016,Thu Jul 28 01:08:12 2016
37,S:\mobius\7_27\REC_0020.MOV,45882207.0,Mon Aug 22 03:24:39 2016,Thu Jul 28 01:08:37 2016
38,S:\mobius\7_27\REC_0021.MOV,112344275.0,Mon Aug 22 03:24:42 2016,Thu Jul 28 01:09:57 2016
39,S:\mobius\7_27\REC_0022.MOV,165697467.0,Mon Aug 22 03:24:49 2016,Thu Jul 28 01:19:46 2016
40,S:\mobius\7_27\REC_0023.MOV,76557063.0,Mon Aug 22 03:24:59 2016,Thu Jul 28 01:21:51 2016
41,S:\mobius\7_27\REC_0024.MOV,60170903.0,Mon Aug 22 03:25:04 2016,Thu Jul 28 01:24:41 2016
42,S:\mobius\7_27\REC_0025.MOV,249987627.0,Mon Aug 22 03:25:08 2016,Thu Jul 28 01:26:48 2016
43,S:\mobius\7_27\REC_0026.MOV,13110007.0,Mon Aug 22 03:25:24 2016,Thu Jul 28 01:27:50 2016
44,S:\mobius\7_27\REC_0027.MOV,34215315.0,Mon Aug 22 03:25:25 2016,Thu Jul 28 01:28:28 2016
45,S:\mobius\7_27\REC_0028.MOV,132007655.0,Mon Aug 22 03:25:28 2016,Thu Jul 28 01:30:49 2016
46,S:\mobius\7_29\REC_0001.MOV,241466859.0,Mon Aug 22 03:25:36 2016,Fri Jul 29 15:02:05 2016
47,S:\mobius\7_29\REC_0002.MOV,410833779.0,Mon Aug 22 03:25:51 2016,Fri Jul 29 15:06:18 2016
48,S:\mobius\7_29\REC_0003.MOV,11143671.0,Mon Aug 22 03:26:17 2016,Fri Jul 29 15:06:31 2016
49,S:\mobius\7_29\REC_0004.MOV,166221911.0,Mon Aug 22 03:26:18 2016,Fri Jul 29 15:08:53 2016
50,S:\mobius\7_29\REC_0005.MOV,161764903.0,Mon Aug 22 03:26:28 2016,Fri Jul 29 15:10:24 2016
51,S:\mobius\7_29\REC_0006.MOV,75639419.0,Mon Aug 22 03:26:42 2016,Fri Jul 29 15:11:10 2016
52,S:\mobius\7_29\REC_0007.MOV,503644715.0,Mon Aug 22 03:26:46 2016,Fri Jul 29 15:15:27 2016
53,S:\mobius\7_29\REC_0008.MOV,38803467.0,Mon Aug 22 03:27:17 2016,Fri Jul 29 15:16:07 2016
54,S:\mobius\7_29\REC_0009.MOV,61743979.0,Mon Aug 22 03:27:19 2016,Fri Jul 29 15:19:24 2016
55,S:\mobius\7_29\REC_0010.MOV,188507023.0,Mon Aug 22 03:27:23 2016,Sat Jul 30 08:07:29 2016
56,S:\mobius\7_29\REC_0012.MOV,604058803.0,Mon Aug 22 03:27:35 2016,Sat Jul 30 08:13:52 2016
57,S:\mobius\7_29\REC_0013.MOV,46799867.0,Mon Aug 22 03:28:11 2016,Sat Jul 30 08:14:18 2016
58,S:\mobius\7_29\REC_0014.MOV,994048023.0,Mon Aug 22 03:28:14 2016,Sat Jul 30 08:22:41 2016
59,S:\mobius\7_31\REC_0001.MOV,61743979.0,Mon Aug 22 03:29:15 2016,Sun Jul 31 17:37:52 2016
60,S:\mobius\7_31\REC_0002.MOV,61219643.0,Mon Aug 22 03:29:19 2016,Sun Jul 31 17:38:26 2016
61,S:\mobius\7_31\REC_0003.MOV,57024803.0,Mon Aug 22 03:29:22 2016,Sun Jul 31 17:38:56 2016
62,S:\mobius\7_31\REC_0004.MOV,82849211.0,Mon Aug 22 03:29:26 2016,Sun Jul 31 17:39:41 2016
63,S:\mobius\7_31\REC_0005.MOV,93598595.0,Mon Aug 22 03:29:32 2016,Sun Jul 31 17:40:30 2016
64,S:\mobius\7_31\REC_0006.MOV,104741191.0,Mon Aug 22 03:29:38 2016,Sun Jul 31 17:43:58 2016
65,S:\mobius\7_31\REC_0007.MOV,219837263.0,Mon Aug 22 03:29:46 2016,Sun Jul 31 17:47:19 2016
66,S:\mobius\7_31\REC_0008.MP4,5509946.0,Mon Aug 22 03:30:00 2016,Sun Jul 31 20:39:23 2016
67,S:\mobius\7_31\REC_0009.MP4,628676630.0,Mon Aug 22 03:30:00 2016,Sun Jul 31 20:49:29 2016
68,S:\mobius\7_31\REC_0010.MP4,8657818.0,Mon Aug 22 03:30:38 2016,Sun Jul 31 20:49:38 2016
69,S:\mobius\7_31_2\REC_0001.MP4,12588514.0,Mon Aug 22 03:30:39 2016,Sun Jul 31 22:24:22 2016
70,S:\mobius\7_31_2\REC_0002.MP4,10228310.0,Mon Aug 22 03:30:40 2016,Sun Jul 31 22:24:33 2016
