,fpath,size,date_created,date_modified
0,T:\mobius2\mobius\REC_0001.MOV,12880707.0,Sat Sep 24 06:31:06 2016,Sat Sep 17 07:48:28 2016
1,T:\mobius2\mobius\REC_0001_0.MOV,50863587.0,Sat Sep 24 06:31:07 2016,Mon Jul 25 06:35:29 2016
2,T:\mobius2\mobius\REC_0002.MOV,9636227.0,Sat Sep 24 06:31:09 2016,Sat Sep 17 07:48:38 2016
3,T:\mobius2\mobius\REC_0003.MOV,7211059.0,Sat Sep 24 06:31:10 2016,Sat Sep 17 07:48:46 2016
4,T:\mobius2\mobius\023552_09_17_2016\REC_0001.MOV,11569803.0,Thu May 04 14:41:33 2017,Sat Sep 17 08:36:02 2016
5,T:\mobius2\mobius\023552_09_17_2016\REC_0002.MOV,7866523.0,Thu May 04 14:41:34 2017,Sat Sep 17 08:36:10 2016
6,T:\mobius2\mobius\023552_09_17_2016\REC_0003.MOV,7768195.0,Thu May 04 14:41:35 2017,Sat Sep 17 08:36:18 2016
7,T:\mobius2\mobius\023858_09_17_2016\REC_0001.MOV,5769067.0,Thu May 04 14:41:36 2017,Sat Sep 17 08:39:18 2016
8,T:\mobius2\mobius\023858_09_17_2016\REC_0002.MOV,5932939.0,Thu May 04 14:41:37 2017,Sat Sep 17 08:39:26 2016
9,T:\mobius2\mobius\023858_09_17_2016\REC_0003.MOV,5605203.0,Thu May 04 14:41:38 2017,Sat Sep 17 08:39:34 2016
10,T:\mobius2\mobius\060618_10_05_2016\REC_0001.MOV,8390871.0,Thu May 04 14:41:40 2017,Mon Oct 03 22:20:12 2016
11,T:\mobius2\mobius\060618_10_05_2016\REC_0002.MOV,22319191.0,Thu May 04 14:41:41 2017,Mon Oct 03 22:23:42 2016
12,T:\mobius2\mobius\060618_10_05_2016\REC_0003.MOV,9406819.0,Thu May 04 14:41:43 2017,Mon Oct 03 22:28:30 2016
13,T:\mobius2\mobius\060618_10_05_2016\REC_0004.MOV,103726059.0,Thu May 04 14:41:43 2017,Mon Oct 03 22:30:24 2016
14,T:\mobius2\mobius\060618_10_05_2016\REC_0005.MOV,3081719.0,Thu May 04 14:41:52 2017,Mon Oct 03 22:39:38 2016
15,T:\mobius2\mobius\060618_10_05_2016\REC_0006.MOV,53715219.0,Thu May 04 14:41:52 2017,Mon Oct 03 22:40:10 2016
16,T:\mobius2\mobius\060618_10_05_2016\REC_0007.MOV,34838275.0,Thu May 04 14:41:56 2017,Tue Oct 04 00:22:04 2016
17,T:\mobius2\mobius\060618_10_05_2016\REC_0008.MOV,42408731.0,Thu May 04 14:41:58 2017,Tue Oct 04 00:23:54 2016
18,T:\mobius2\mobius\060618_10_05_2016\REC_0009.MOV,10717719.0,Thu May 04 14:42:02 2017,Tue Oct 04 00:24:06 2016
19,T:\mobius2\mobius\060618_10_05_2016\REC_0010.MOV,54632863.0,Thu May 04 14:42:02 2017,Tue Oct 04 00:27:46 2016
20,T:\mobius2\mobius\060618_10_05_2016\REC_0011.MOV,26645147.0,Thu May 04 14:42:07 2017,Tue Oct 04 00:28:14 2016
21,T:\mobius2\mobius\060618_10_05_2016\REC_0012.MOV,24416627.0,Thu May 04 14:42:09 2017,Tue Oct 04 03:21:56 2016
22,T:\mobius2\mobius\060618_10_05_2016\REC_0013.MOV,41065055.0,Thu May 04 14:42:11 2017,Tue Oct 04 03:47:50 2016
23,T:\mobius2\mobius\060618_10_05_2016\REC_0014.MOV,35723135.0,Thu May 04 14:42:14 2017,Tue Oct 04 13:44:56 2016
24,T:\mobius2\mobius\060618_10_05_2016\REC_0015.MOV,7899291.0,Thu May 04 14:42:17 2017,Tue Oct 04 13:45:42 2016
25,T:\mobius2\mobius\060618_10_05_2016\REC_0016.MOV,25727527.0,Thu May 04 14:42:18 2017,Tue Oct 04 13:46:00 2016
26,T:\mobius2\mobius\060618_10_05_2016\REC_0017.MOV,9898403.0,Thu May 04 14:42:20 2017,Tue Oct 04 13:46:48 2016
27,T:\mobius2\mobius\060618_10_05_2016\REC_0018.MOV,12356343.0,Thu May 04 14:42:22 2017,Tue Oct 04 13:48:32 2016
28,T:\mobius2\mobius\060618_10_05_2016\REC_0019.MOV,8587503.0,Thu May 04 14:42:23 2017,Tue Oct 04 13:50:18 2016
29,T:\mobius2\mobius\060618_10_05_2016\REC_0020.MOV,637524411.0,Thu May 04 14:42:23 2017,Tue Oct 04 13:58:36 2016
30,T:\mobius2\mobius\060618_10_05_2016\REC_0021.MOV,67381355.0,Thu May 04 14:43:09 2017,Tue Oct 04 13:59:14 2016
31,T:\mobius2\mobius\074640_11_02_2016\REC_0001.MOV,39164239.0,Thu May 04 14:43:15 2017,Sun Oct 30 11:56:40 2016
32,T:\mobius2\mobius\074640_11_02_2016\REC_0002.MOV,51486723.0,Thu May 04 14:43:18 2017,Sun Oct 30 11:57:12 2016
33,T:\mobius2\mobius\074640_11_02_2016\REC_0003.MOV,22122559.0,Thu May 04 14:43:21 2017,Sun Oct 30 11:57:30 2016
34,T:\mobius2\mobius\074640_11_02_2016\REC_0004.MOV,28873675.0,Thu May 04 14:43:23 2017,Sun Oct 30 11:57:50 2016
35,T:\mobius2\mobius\074640_11_02_2016\REC_0005.MOV,4687583.0,Thu May 04 14:43:26 2017,Sun Oct 30 11:59:16 2016
36,T:\mobius2\mobius\074640_11_02_2016\REC_0006.MOV,31692119.0,Thu May 04 14:43:27 2017,Sun Oct 30 11:59:36 2016
37,T:\mobius2\mobius\074640_11_02_2016\REC_0007.MOV,19107475.0,Thu May 04 14:43:29 2017,Sun Oct 30 11:59:52 2016
38,T:\mobius2\mobius\074640_11_02_2016\REC_0008.MOV,19009155.0,Thu May 04 14:43:30 2017,Sun Oct 30 12:07:08 2016
39,T:\mobius2\mobius\074640_11_02_2016\REC_0009.MOV,9472355.0,Thu May 04 14:43:32 2017,Sun Oct 30 12:07:44 2016
40,T:\mobius2\mobius\074640_11_02_2016\REC_0010.MOV,14322695.0,Thu May 04 14:43:34 2017,Sun Oct 30 12:08:16 2016
41,T:\mobius2\mobius\074640_11_02_2016\REC_0011.MOV,10422767.0,Thu May 04 14:43:35 2017,Sun Oct 30 12:12:20 2016
42,T:\mobius2\mobius\074640_11_02_2016\REC_0012.MOV,9800099.0,Thu May 04 14:43:37 2017,Sun Oct 30 12:12:36 2016
43,T:\mobius2\mobius\074640_11_02_2016\REC_0013.MOV,24318311.0,Thu May 04 14:43:38 2017,Sun Oct 30 12:12:52 2016
44,T:\mobius2\mobius\074640_11_02_2016\REC_0014.MOV,4064907.0,Thu May 04 14:43:41 2017,Sun Oct 30 12:13:02 2016
45,T:\mobius2\mobius\074640_11_02_2016\REC_0015.MOV,15371411.0,Thu May 04 14:43:42 2017,Sun Oct 30 12:13:12 2016
