,fpath,size,date_created,date_modified
0,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0001.MOV,3606091.0,Sat May 13 22:47:07 2017,Fri May 12 13:05:30 2017
1,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0002.MOV,6064019.0,Sat May 13 22:47:07 2017,Fri May 12 13:05:50 2017
2,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0003.MOV,26120799.0,Sat May 13 22:47:08 2017,Fri May 12 13:06:32 2017
3,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0004.MOV,9242955.0,Sat May 13 22:47:09 2017,Fri May 12 13:06:44 2017
4,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0005.MOV,507057127.0,Sat May 13 22:47:09 2017,Fri May 12 13:11:36 2017
5,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0006.MOV,62268855.0,Sat May 13 22:47:34 2017,Fri May 12 13:15:32 2017
6,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0007.MOV,8751375.0,Sat May 13 22:47:37 2017,Fri May 12 13:17:44 2017
7,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0008.MOV,97204343.0,Sat May 13 22:47:37 2017,Fri May 12 13:20:14 2017
8,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0009.MOV,33461831.0,Sat May 13 22:47:42 2017,Fri May 12 13:20:34 2017
9,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0010.MOV,202895631.0,Sat May 13 22:47:44 2017,Fri May 12 13:23:10 2017
10,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0011.MOV,181855679.0,Sat May 13 22:47:53 2017,Fri May 12 13:24:50 2017
11,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0012.MOV,7473235.0,Sat May 13 22:48:02 2017,Fri May 12 13:26:00 2017
12,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0013.MOV,214955923.0,Sat May 13 22:48:03 2017,Fri May 12 13:28:20 2017
13,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0014.MOV,2786759.0,Sat May 13 22:48:13 2017,Fri May 12 13:28:24 2017
14,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0015.MOV,479233267.0,Sat May 13 22:48:13 2017,Fri May 12 13:32:46 2017
15,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0016.MOV,20549463.0,Sat May 13 22:48:36 2017,Sat May 13 12:29:52 2017
16,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0017.MOV,9472371.0,Sat May 13 22:48:38 2017,Sat May 13 12:30:00 2017
17,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0018.MOV,19140243.0,Sat May 13 22:48:38 2017,Sat May 13 12:31:46 2017
18,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0019.MOV,145969819.0,Sat May 13 22:48:39 2017,Sat May 13 12:34:04 2017
19,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0020.MOV,344636659.0,Sat May 13 22:48:46 2017,Sat May 13 12:38:24 2017
20,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0021.MOV,45161607.0,Sat May 13 22:49:02 2017,Sat May 13 12:39:26 2017
21,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0022.MOV,17567171.0,Sat May 13 22:49:05 2017,Sat May 13 12:41:50 2017
22,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0023.MOV,13765555.0,Sat May 13 22:49:06 2017,Sat May 13 12:44:02 2017
23,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0024.MOV,7800955.0,Sat May 13 22:49:07 2017,Sat May 13 12:45:36 2017
24,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0025.MOV,18058411.0,Sat May 13 22:49:07 2017,Sat May 13 12:46:06 2017
25,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0026.MOV,6555615.0,Sat May 13 22:49:08 2017,Sat May 13 12:47:14 2017
26,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0027.MOV,8456415.0,Sat May 13 22:49:08 2017,Sat May 13 12:47:24 2017
