,fpath,size,date_created,date_modified
0,S:\pylogger\chg.csv,492.0,Thu Aug 18 07:53:38 2016,Thu Dec 31 10:29:33 2015
1,S:\pylogger\Downloads_sbiapc70_8_9.zip,186868015.0,Thu Aug 18 07:53:38 2016,Fri Aug 12 07:56:43 2016
2,S:\pylogger\expt.csv,823.0,Thu Aug 18 07:53:50 2016,Sat May 14 17:10:53 2016
3,S:\pylogger\lol.py,239.0,Thu Aug 18 07:53:50 2016,Sun Dec 20 19:59:18 2015
4,S:\pylogger\mug_sbiapc70_8_9.zip,211314332.0,Thu Aug 18 07:53:50 2016,Fri Aug 12 07:56:35 2016
5,S:\pylogger\New Text Document.txt,0.0,Thu Aug 18 07:54:11 2016,Sat Dec 19 19:58:51 2015
6,S:\pylogger\Pictures_sbiapc70_8_9.zip,415424724.0,Thu Aug 18 07:54:11 2016,Fri Aug 12 07:57:39 2016
7,S:\pylogger\pybooker.py,3071.0,Thu Aug 18 07:54:58 2016,Mon Aug 01 06:22:54 2016
8,S:\pylogger\pylogger.py,2290.0,Thu Aug 18 07:54:58 2016,Sun Jan 03 20:31:39 2016
9,S:\pylogger\pylogger2.py,2164.0,Thu Aug 18 07:54:58 2016,Sun Dec 20 20:51:30 2015
10,S:\pylogger\pylogger3.py,1904.0,Thu Aug 18 07:54:58 2016,Sat Dec 19 22:25:13 2015
11,S:\pylogger\pynoter.py,2146.0,Thu Aug 18 07:54:58 2016,Sun Dec 20 21:54:30 2015
12,S:\pylogger\sbiapc70_code.zip,4891765.0,Thu Aug 18 07:54:58 2016,Wed Aug 17 15:47:32 2016
13,S:\pylogger\todo.csv,451.0,Thu Aug 18 07:54:59 2016,Sun Jan 17 19:57:38 2016
14,S:\pylogger\Videos_sbiapc70_8_9.zip,414257660.0,Thu Aug 18 07:54:59 2016,Fri Aug 12 07:57:50 2016
15,S:\pylogger\01_01_2016\adp.csv,325.0,Thu Aug 18 07:55:46 2016,Fri Jan 01 17:12:21 2016
16,S:\pylogger\01_01_2016\aud.csv,21272.0,Thu Aug 18 07:55:46 2016,Fri Jan 01 19:24:24 2016
17,S:\pylogger\01_01_2016\cds.csv,117.0,Thu Aug 18 07:55:47 2016,Thu Dec 31 22:38:44 2015
18,S:\pylogger\01_01_2016\escl.csv,245.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 18:54:07 2016
19,S:\pylogger\01_01_2016\nrop.csv,307.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 11:38:01 2016
20,S:\pylogger\01_01_2016\reg.csv,24.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 00:22:40 2016
21,S:\pylogger\01_01_2016\sab.csv,72.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 17:15:06 2016
22,S:\pylogger\01_01_2016\sem.csv,329.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 17:40:09 2016
23,S:\pylogger\01_01_2016\trfc.csv,26.0,Thu Aug 18 07:55:47 2016,Fri Jan 01 18:22:20 2016
24,S:\pylogger\01_02_2016\adp.csv,129.0,Thu Aug 18 07:55:47 2016,Sat Jan 02 14:57:08 2016
