,fpath,size,date_created,date_modified
0,S:\s3_s3_2_recovered\untitled_Insert 1.mp3,71938878.0,Thu Mar 24 17:02:30 2016,Sun Mar 13 20:48:02 2016
1,S:\s3_s3_2_recovered\untitled_Insert 1_10.mp3,72002826.0,Thu Mar 24 17:02:34 2016,Sun Mar 13 20:55:15 2016
2,S:\s3_s3_2_recovered\untitled_Insert 1_11.mp3,32211858.0,Thu Mar 24 17:02:38 2016,Sun Mar 13 20:52:48 2016
3,S:\s3_s3_2_recovered\untitled_Insert 1_13.mp3,118026.0,Thu Mar 24 17:02:40 2016,Mon Mar 14 07:38:47 2016
4,S:\s3_s3_2_recovered\untitled_Insert 1_2.mp3,75817122.0,Thu Mar 24 17:02:40 2016,Sun Mar 13 21:04:02 2016
5,S:\s3_s3_2_recovered\untitled_Insert 1_28.mp3,12952717.0,Thu Mar 24 17:02:45 2016,Mon Mar 14 07:38:47 2016
6,S:\s3_s3_2_recovered\untitled_Insert 1_3.mp3,53795688.0,Thu Mar 24 17:02:45 2016,Sun Mar 13 21:01:35 2016
7,S:\s3_s3_2_recovered\untitled_Insert 1_35.mp3,30173471.0,Thu Mar 24 17:02:48 2016,Mon Mar 14 07:38:25 2016
8,S:\s3_s3_2_recovered\untitled_Insert 1_39.mp3,17875858.0,Thu Mar 24 17:02:50 2016,Mon Mar 14 07:35:40 2016
9,S:\s3_s3_2_recovered\untitled_Insert 1_4.mp3,344142.0,Thu Mar 24 17:02:51 2016,Mon Mar 14 07:38:48 2016
10,S:\s3_s3_2_recovered\untitled_Insert 1_41.mp3,46173366.0,Thu Mar 24 17:02:51 2016,Mon Mar 14 07:35:06 2016
11,S:\s3_s3_2_recovered\untitled_Insert 1_42.mp3,430660.0,Thu Mar 24 17:02:54 2016,Sun Mar 13 21:04:03 2016
12,S:\s3_s3_2_recovered\untitled_Insert 1_45.mp3,250937.0,Thu Mar 24 17:02:54 2016,Sun Mar 13 21:04:02 2016
13,S:\s3_s3_2_recovered\untitled_Insert 1_5.mp3,158986.0,Thu Mar 24 17:02:54 2016,Mon Mar 14 07:38:48 2016
14,S:\s3_s3_2_recovered\untitled_Insert 1_6.mp3,47927959.0,Thu Mar 24 17:02:54 2016,Sun Mar 13 20:59:36 2016
15,S:\s3_s3_2_recovered\untitled_Insert 1_7.mp3,128057.0,Thu Mar 24 17:02:57 2016,Mon Mar 14 07:38:47 2016
16,S:\s3_s3_2_recovered\untitled_Insert 1_8.mp3,51571.0,Thu Mar 24 17:02:57 2016,Sun Mar 13 20:58:04 2016
17,S:\s3_s3_2_recovered\untitled_Insert 1_9.mp3,59443571.0,Thu Mar 24 17:02:57 2016,Sun Mar 13 20:58:04 2016
18,S:\s3_s3_2_recovered\untitled_REC.mp3,174869.0,Thu Mar 24 17:03:00 2016,Mon Mar 14 07:38:50 2016
19,S:\s3_s3_2_recovered\untitled_REC_11.mp3,55984122.0,Thu Mar 24 17:03:00 2016,Mon Mar 14 07:37:27 2016
20,S:\s3_s3_2_recovered\untitled_REC_3.mp3,138924.0,Thu Mar 24 17:03:04 2016,Mon Mar 14 07:38:50 2016
21,S:\s3_s3_2_recovered\untitled_REC_4.mp3,138924.0,Thu Mar 24 17:03:04 2016,Mon Mar 14 07:38:49 2016
22,S:\s3_s3_2_recovered\untitled_REC_7.mp3,129729.0,Thu Mar 24 17:03:04 2016,Mon Mar 14 07:38:49 2016
