,fpath,size,date_created,date_modified
0,S:\s4\desktop.ini,48.0,Fri Nov 11 08:05:15 2016,Wed Nov 02 07:35:45 2016
1,S:\s4\05_31_2017\P_20170425_125241.jpg,2144932.0,Mon Jun 26 12:34:23 2017,Tue Apr 25 09:22:42 2017
2,S:\s4\05_31_2017\P_20170425_125307.jpg,2652592.0,Mon Jun 26 12:34:24 2017,Tue Apr 25 09:23:08 2017
3,S:\s4\05_31_2017\P_20170425_125331.jpg,2115534.0,Mon Jun 26 12:34:25 2017,Tue Apr 25 09:23:31 2017
4,S:\s4\05_31_2017\P_20170425_125457.jpg,2223401.0,Mon Jun 26 12:34:26 2017,Tue Apr 25 09:24:57 2017
5,S:\s4\05_31_2017\P_20170529_040239.jpg,2274429.0,Mon Jun 26 12:34:27 2017,Mon May 29 00:32:39 2017
6,S:\s4\05_31_2017\P_20170529_040247.jpg,2227760.0,Mon Jun 26 12:34:28 2017,Mon May 29 00:32:47 2017
7,S:\s4\05_31_2017\P_20170529_040509.jpg,985882.0,Mon Jun 26 12:34:29 2017,Mon May 29 00:35:09 2017
8,S:\s4\05_31_2017\P_20170529_040550.jpg,962069.0,Mon Jun 26 12:34:30 2017,Mon May 29 00:35:50 2017
9,S:\s4\05_31_2017\P_20170529_040616.jpg,999232.0,Mon Jun 26 12:34:31 2017,Mon May 29 00:36:16 2017
10,S:\s4\05_31_2017\P_20170529_040735.jpg,706147.0,Mon Jun 26 12:34:32 2017,Mon May 29 00:37:35 2017
11,S:\s4\05_31_2017\P_20170529_040825.jpg,875152.0,Mon Jun 26 12:34:32 2017,Mon May 29 00:38:25 2017
12,S:\s4\05_31_2017\P_20170529_040836.jpg,924146.0,Mon Jun 26 12:34:33 2017,Mon May 29 00:38:37 2017
13,S:\s4\05_31_2017\P_20170529_041104.jpg,767426.0,Mon Jun 26 12:34:34 2017,Mon May 29 00:41:04 2017
14,S:\s4\05_31_2017\P_20170529_041137.jpg,2315618.0,Mon Jun 26 12:34:34 2017,Mon May 29 00:41:37 2017
15,S:\s4\05_31_2017\P_20170529_050652.jpg,1254470.0,Mon Jun 26 12:34:35 2017,Mon May 29 01:36:52 2017
16,S:\s4\05_31_2017\P_20170529_071719.jpg,1851674.0,Mon Jun 26 12:34:36 2017,Mon May 29 03:47:19 2017
17,S:\s4\05_31_2017\P_20170529_071745.jpg,1564697.0,Mon Jun 26 12:34:37 2017,Mon May 29 03:47:45 2017
18,S:\s4\05_31_2017\P_20170529_084154.jpg,2468662.0,Mon Jun 26 12:34:38 2017,Mon May 29 05:11:54 2017
19,S:\s4\05_31_2017\P_20170529_084214.jpg,1896056.0,Mon Jun 26 12:34:39 2017,Mon May 29 05:12:14 2017
20,S:\s4\05_31_2017\P_20170529_084246.jpg,2048144.0,Mon Jun 26 12:34:41 2017,Mon May 29 05:12:46 2017
